ID,adj.P.Val,P.Value,t,B,logFC,Gene,Genetitle
39178_at,8.23E-05,1.26E-05,4.909751,3.06348,0.511689,RTN1,reticulon 1
34641_at,8.24E-05,1.27E-05,-4.9089,3.06079,-0.2874865,PZP,"PZP, alpha-2-macroglobulin like"
35290_at,8.24E-05,1.27E-05,4.908753,3.06033,0.69847,YTHDF3,YTH N6-methyladenosine RNA binding protein 3
40989_at,8.24E-05,1.27E-05,-4.908697,3.06015,-0.4924429,,
37072_at,8.26E-05,1.27E-05,-4.907943,3.05778,-0.4024644,CNGB1,cyclic nucleotide gated channel beta 1
38930_at,8.26E-05,1.27E-05,-4.907717,3.05706,-0.3190814,,
40791_at,8.26E-05,1.27E-05,-4.907534,3.05648,-0.4847893,POLR2A,RNA polymerase II subunit A
41299_f_at,8.27E-05,1.27E-05,-4.907201,3.05543,-0.4908878,CFAP20,cilia and flagella associated protein 20
37440_at,8.27E-05,1.27E-05,-4.90666,3.05372,-0.3198,SLC30A4,solute carrier family 30 member 4
40911_at,8.27E-05,1.27E-05,-4.906648,3.05368,-0.3241255,,
36827_at,8.28E-05,1.28E-05,4.906107,3.05198,0.9238292,ACBD3,acyl-CoA binding domain containing 3
39039_s_at,8.31E-05,1.28E-05,4.905018,3.04854,0.9246124,UBE2J1,ubiquitin conjugating enzyme E2 J1
36519_at,8.33E-05,1.29E-05,4.904042,3.04546,0.5372321,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
38441_s_at,8.33E-05,1.29E-05,4.90391,3.04504,1.3377648,CD46,CD46 molecule
32891_at,8.34E-05,1.29E-05,-4.903619,3.04412,-0.3781006,PRKCE,protein kinase C epsilon
32531_at,8.35E-05,1.29E-05,4.903021,3.04224,1.4062707,GJA1,gap junction protein alpha 1
36469_at,8.36E-05,1.29E-05,-4.902472,3.0405,-0.5242955,DTNA,dystrobrevin alpha
33132_at,8.36E-05,1.29E-05,-4.902421,3.04034,-0.5520812,MIR6849///MIR1234///MIR939///CPSF1,microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1
33798_at,8.36E-05,1.29E-05,-4.902157,3.03951,-0.3124225,SMG6,"SMG6, nonsense mediated mRNA decay factor"
33692_at,8.36E-05,1.29E-05,-4.902111,3.03936,-0.2883096,,
34980_at,8.36E-05,1.30E-05,-4.901536,3.03755,-0.3040582,KDM4C,lysine demethylase 4C
37895_at,8.36E-05,1.30E-05,4.901485,3.03739,0.7932151,SLC35A1,solute carrier family 35 member A1
AFFX-HSAC07/X00351_5_st,8.39E-05,1.30E-05,-4.900512,3.03432,-0.464464,ACTB,actin beta
32165_at,8.43E-05,1.31E-05,4.898692,3.02857,0.8345332,SRSF7,serine and arginine rich splicing factor 7
37794_at,8.43E-05,1.31E-05,-4.898568,3.02818,-0.6231858,LOC155060,AI894139 pseudogene
41412_at,8.44E-05,1.31E-05,-4.897924,3.02615,-0.4520694,CSDC2,cold shock domain containing C2
37766_s_at,8.44E-05,1.31E-05,4.897785,3.02571,0.5660373,PSMC5,"proteasome 26S subunit, ATPase 5"
35222_at,8.44E-05,1.31E-05,-4.897692,3.02542,-0.3626034,ZNF75D,zinc finger protein 75D
31991_at,8.44E-05,1.31E-05,-4.897606,3.02515,-0.3636117,NCKIPSD,NCK interacting protein with SH3 domain
40122_at,8.46E-05,1.32E-05,4.896674,3.02221,0.77076,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein
32457_f_at,8.46E-05,1.32E-05,-4.896647,3.02212,-0.5265526,PRB4,proline rich protein BstNI subfamily 4
33604_at,8.55E-05,1.33E-05,-4.893119,3.01099,-0.3037489,IRS4,insulin receptor substrate 4
37202_at,8.55E-05,1.33E-05,-4.893089,3.0109,-0.5295628,F2,"coagulation factor II, thrombin"
40906_at,8.56E-05,1.34E-05,-4.892623,3.00943,-0.383865,ZNF688,zinc finger protein 688
33820_g_at,8.61E-05,1.34E-05,4.890602,3.00305,1.1453042,SNORD14D///SNORD14C///HSPA8,"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
34056_g_at,8.63E-05,1.35E-05,-4.889785,3.00047,-0.3920947,ACVR1B,activin A receptor type 1B
33847_s_at,8.67E-05,1.35E-05,4.88846,2.9963,0.7641014,CDKN1B,cyclin dependent kinase inhibitor 1B
36375_at,8.67E-05,1.36E-05,-4.888011,2.99488,-0.3527982,ODF1,outer dense fiber of sperm tails 1
1335_at,8.67E-05,1.36E-05,-4.887902,2.99453,-0.4589826,IGF1R,insulin like growth factor 1 receptor
37815_at,8.68E-05,1.36E-05,-4.887529,2.99336,-0.429166,DDX51,DEAD-box helicase 51
1337_s_at,8.71E-05,1.36E-05,-4.886225,2.98925,-0.5631373,RARA,retinoic acid receptor alpha
38035_at,8.72E-05,1.36E-05,4.88597,2.98844,0.6912296,MTMR6,myotubularin related protein 6
371_at,8.73E-05,1.37E-05,-4.885351,2.98649,-0.3865512,IRF3,interferon regulatory factor 3
31851_at,8.73E-05,1.37E-05,4.885101,2.9857,0.6235937,TRIM13,tripartite motif containing 13
33974_at,8.76E-05,1.37E-05,-4.88409,2.98251,-0.4179563,RASL10A,RAS like family 10 member A
41435_at,8.79E-05,1.38E-05,-4.882771,2.97836,-0.4667136,PPFIA3,PTPRF interacting protein alpha 3
31604_at,8.82E-05,1.38E-05,-4.881567,2.97456,-0.4997929,GNAS,GNAS complex locus
41357_at,8.87E-05,1.39E-05,-4.879848,2.96914,-0.4581924,ATP5B,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"
1152_i_at,8.87E-05,1.39E-05,4.879687,2.96863,0.6416218,CGB2///CGB1///CGB8///CGB7///CGB5///CGB3,chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3
41187_at,8.89E-05,1.40E-05,4.878597,2.9652,0.6796615,MYL12B,myosin light chain 12B
40509_at,8.92E-05,1.40E-05,4.877446,2.96157,0.842574,ETFA,electron transfer flavoprotein alpha subunit
39517_at,8.94E-05,1.41E-05,4.876714,2.95926,0.6694883,C5orf15,chromosome 5 open reading frame 15
32760_at,8.95E-05,1.41E-05,-4.876336,2.95807,-0.3178981,SEMG1,semenogelin I
457_s_at,8.95E-05,1.41E-05,4.876225,2.95772,0.9779521,SUMO1,small ubiquitin-like modifier 1
36240_at,8.96E-05,1.41E-05,-4.875638,2.95587,-0.4993505,RAPGEF1,Rap guanine nucleotide exchange factor 1
40265_s_at,8.96E-05,1.41E-05,-4.875251,2.95465,-0.4171308,TMEM262,transmembrane protein 262
1460_g_at,8.96E-05,1.41E-05,4.875124,2.95425,0.3445757,PTPN4,"protein tyrosine phosphatase, non-receptor type 4"
1772_s_at,8.96E-05,1.42E-05,4.875036,2.95398,0.6470229,FNTA,"farnesyltransferase, CAAX box, alpha"
409_at,8.97E-05,1.42E-05,4.874546,2.95243,0.8270295,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
37242_at,8.98E-05,1.42E-05,4.874257,2.95152,0.8372883,FTO,fat mass and obesity associated
945_at,8.98E-05,1.42E-05,4.87391,2.95043,0.4278983,PSMD7,"proteasome 26S subunit, non-ATPase 7"
33332_at,8.98E-05,1.42E-05,-4.873786,2.95004,-0.4886105,SERHL2///SERHL,serine hydrolase-like 2///serine hydrolase-like (pseudogene)
35183_at,8.99E-05,1.42E-05,-4.873319,2.94856,-0.4691181,ABCA3,ATP binding cassette subfamily A member 3
32036_i_at,8.99E-05,1.42E-05,-4.873133,2.94798,-0.4549786,RPP14,ribonuclease P/MRP subunit p14
34634_s_at,9.00E-05,1.43E-05,-4.872608,2.94633,-0.4265077,HTR7,5-hydroxytryptamine receptor 7
39734_at,9.01E-05,1.43E-05,4.872313,2.9454,0.567833,AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1
39683_at,9.01E-05,1.43E-05,-4.872049,2.94456,-0.4685455,CRYBB1,crystallin beta B1
36400_at,9.01E-05,1.43E-05,-4.871859,2.94396,-0.2226469,,
32125_at,9.01E-05,1.43E-05,-4.871853,2.94395,-0.704129,THOC2,THO complex 2
34440_at,9.01E-05,1.43E-05,-4.871542,2.94297,-0.3490924,DGCR9,DiGeorge syndrome critical region gene 9 (non-protein coding)
33889_s_at,9.09E-05,1.44E-05,-4.868803,2.93434,-0.4175738,DGCR2,DiGeorge syndrome critical region gene 2
34970_r_at,9.17E-05,1.46E-05,-4.865898,2.92519,-0.5159341,OPLAH,5-oxoprolinase (ATP-hydrolysing)
36237_at,9.19E-05,1.46E-05,-4.865183,2.92293,-0.3679021,SLC22A6,solute carrier family 22 member 6
37158_at,9.20E-05,1.46E-05,-4.864736,2.92153,-0.3370119,SAMD14,sterile alpha motif domain containing 14
33429_at,9.20E-05,1.47E-05,4.864508,2.92081,0.4835395,TPGS2,tubulin polyglutamylase complex subunit 2
35661_g_at,9.21E-05,1.47E-05,-4.864001,2.91921,-0.3238559,SAG,S-antigen visual arrestin
38473_at,9.22E-05,1.47E-05,4.863655,2.91812,0.7779792,TARS,threonyl-tRNA synthetase
32413_at,9.22E-05,1.47E-05,-4.863406,2.91734,-0.3393183,RPS14,ribosomal protein S14
41156_g_at,9.26E-05,1.48E-05,4.861978,2.91284,0.7617586,CTNNA1,catenin alpha 1
39275_at,9.27E-05,1.48E-05,-4.861585,2.9116,-0.4146746,CACNA1D,calcium voltage-gated channel subunit alpha1 D
1333_f_at,9.27E-05,1.48E-05,-4.861396,2.91101,-0.4883276,BCR,"BCR, RhoGEF and GTPase activating protein"
38936_at,9.27E-05,1.48E-05,-4.861171,2.9103,-0.4010526,CELA2A///CELA2B,chymotrypsin like elastase family member 2A///chymotrypsin like elastase family member 2B
31555_at,9.30E-05,1.49E-05,-4.860007,2.90663,-0.3458159,HOXB1,homeobox B1
33148_at,9.30E-05,1.49E-05,4.859822,2.90605,0.5316287,ZFR,zinc finger RNA binding protein
37763_at,9.31E-05,1.49E-05,-4.859534,2.90515,-0.3441594,RXRB,retinoid X receptor beta
40652_at,9.33E-05,1.49E-05,-4.858559,2.90208,-0.3670609,PASK,PAS domain containing serine/threonine kinase
31510_s_at,9.34E-05,1.50E-05,4.858129,2.90072,0.8638725,MIR4738///H3F3B///H3F3A,"microRNA 4738///H3 histone, family 3B///H3 histone, family 3A"
39793_at,9.39E-05,1.50E-05,4.856465,2.89549,1.1684233,GBAS,glioblastoma amplified sequence
36599_at,9.40E-05,1.51E-05,4.856041,2.89415,0.3960996,ME2,malic enzyme 2
32998_at,9.40E-05,1.51E-05,-4.855899,2.8937,-0.4079978,CCKAR,cholecystokinin A receptor
37224_at,9.40E-05,1.51E-05,-4.855653,2.89293,-0.3018317,COX10,"COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor"
40400_at,9.40E-05,1.51E-05,-4.855577,2.89269,-0.3382218,ADORA1,adenosine A1 receptor
35679_s_at,9.40E-05,1.51E-05,-4.855443,2.89227,-0.4429502,DPP6,dipeptidyl peptidase like 6
33038_at,9.41E-05,1.51E-05,-4.855003,2.89088,-0.2717755,,
40483_at,9.43E-05,1.52E-05,-4.854136,2.88815,-0.3114128,C1orf61,chromosome 1 open reading frame 61
35065_at,9.45E-05,1.52E-05,-4.853298,2.88551,-0.2940506,AGGF1,angiogenic factor with G-patch and FHA domains 1
37082_at,9.45E-05,1.52E-05,-4.853247,2.88536,-0.3139318,ZSCAN12,zinc finger and SCAN domain containing 12
32272_at,9.47E-05,1.53E-05,4.852214,2.8821,0.7236184,TUBA1B,tubulin alpha 1b
31515_at,9.48E-05,1.53E-05,-4.851859,2.88099,-0.4767118,AGFG2,ArfGAP with FG repeats 2
40105_at,9.53E-05,1.54E-05,4.850042,2.87527,0.7918976,MUT,methylmalonyl-CoA mutase
33254_at,9.54E-05,1.54E-05,4.849798,2.8745,0.3302728,EVI5,ecotropic viral integration site 5
38507_at,9.54E-05,1.54E-05,-4.849664,2.87408,-0.391759,LOC101929829///CYP2D6,cytochrome P450 family 2 subfamily D member 6 pseudogene///cytochrome P450 family 2 subfamily D member 6
31355_at,9.55E-05,1.54E-05,-4.849135,2.87242,-0.5756684,ASCL2,achaete-scute family bHLH transcription factor 2
1283_at,9.56E-05,1.54E-05,-4.848603,2.87074,-0.3269481,MAP3K13,mitogen-activated protein kinase kinase kinase 13
39390_at,9.56E-05,1.55E-05,4.848292,2.86976,0.3303489,NUP133,nucleoporin 133
482_at,9.60E-05,1.55E-05,4.84716,2.8662,0.5077995,CDH13,cadherin 13
39374_at,9.61E-05,1.55E-05,-4.846514,2.86417,-0.4146286,GTSE1,G2 and S-phase expressed 1
36947_s_at,9.64E-05,1.56E-05,-4.845253,2.8602,-0.3457844,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A
38562_g_at,9.64E-05,1.56E-05,-4.845217,2.86009,-0.4307122,UTP20,"UTP20, small subunit processome component"
32351_at,9.64E-05,1.56E-05,-4.845167,2.85993,-0.3765856,GPR20,G protein-coupled receptor 20
31800_at,9.68E-05,1.57E-05,-4.843884,2.8559,-0.7161668,,
37422_at,9.71E-05,1.57E-05,4.842612,2.85189,0.7889445,PPIC,peptidylprolyl isomerase C
1903_at,9.71E-05,1.58E-05,4.842448,2.85138,0.6415156,RAP1B,"RAP1B, member of RAS oncogene family"
33398_at,9.71E-05,1.58E-05,-4.842429,2.85132,-0.4210099,ACIN1,apoptotic chromatin condensation inducer 1
39681_at,9.71E-05,1.58E-05,-4.842277,2.85084,-0.9220634,ZBTB16,zinc finger and BTB domain containing 16
32748_at,9.74E-05,1.58E-05,4.841094,2.84712,0.5233381,RPS27,ribosomal protein S27
40436_g_at,9.75E-05,1.58E-05,4.840755,2.84605,0.4953191,SLC25A6,solute carrier family 25 member 6
36159_s_at,9.76E-05,1.59E-05,4.84036,2.84481,1.271869,PRNP,prion protein
38696_at,9.76E-05,1.59E-05,-4.840084,2.84394,-0.3058413,CGGBP1,CGG triplet repeat binding protein 1
31364_i_at,9.81E-05,1.60E-05,-4.838292,2.83831,-0.4357063,NFAT5,nuclear factor of activated T-cells 5
33457_at,9.81E-05,1.60E-05,4.838216,2.83807,0.5086625,FAM208A,family with sequence similarity 208 member A
34699_at,9.81E-05,1.60E-05,4.838177,2.83795,0.8085564,CD2AP,CD2 associated protein
36472_at,9.83E-05,1.60E-05,4.83739,2.83547,1.1142659,NMI,N-myc and STAT interactor
36938_at,9.83E-05,1.60E-05,4.836971,2.83415,1.03201,ASAH1,N-acylsphingosine amidohydrolase 1
36616_at,9.83E-05,1.60E-05,4.836876,2.83386,0.9343423,DAZAP2,DAZ associated protein 2
37305_at,9.83E-05,1.61E-05,-4.836825,2.8337,-0.6240548,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
38569_at,9.86E-05,1.61E-05,-4.835795,2.83046,-0.2835995,NRF1,nuclear respiratory factor 1
31712_at,9.86E-05,1.61E-05,-4.835551,2.82969,-0.3012843,DLGAP2,DLG associated protein 2
36212_at,9.87E-05,1.61E-05,-4.835009,2.82799,-0.3204451,RNASEH2B,ribonuclease H2 subunit B
32232_at,9.87E-05,1.62E-05,4.834934,2.82775,0.9871978,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5
34966_at,9.91E-05,1.62E-05,-4.833771,2.82409,-0.3398846,T,T brachyury transcription factor
39441_at,9.91E-05,1.62E-05,4.833395,2.82291,0.5130687,LANCL1,LanC like 1
630_at,9.95E-05,1.63E-05,4.831968,2.81843,0.4609882,DCTD,dCMP deaminase
40607_at,9.95E-05,1.63E-05,4.831926,2.81829,1.3021386,DPYSL2,dihydropyrimidinase like 2
1950_s_at,9.95E-05,1.63E-05,-4.831846,2.81804,-0.507003,SMAD3,SMAD family member 3
33620_at,9.96E-05,1.63E-05,-4.831574,2.81719,-0.3411121,HOXB3,homeobox B3
39780_at,9.99E-05,1.64E-05,4.830327,2.81327,0.5147207,PPP3CB,protein phosphatase 3 catalytic subunit beta
855_at,1.00E-04,1.65E-05,4.829016,2.80915,0.3533788,PDCD2,programmed cell death 2
40953_at,1.01E-04,1.65E-05,4.828118,2.80633,1.5697361,CNN3,calponin 3
32871_at,1.01E-04,1.65E-05,-4.827792,2.8053,-0.3170426,,
AFFX-LysX-M_at,1.01E-04,1.66E-05,-4.827,2.80281,-0.4224637,,
33087_s_at,1.01E-04,1.66E-05,-4.825951,2.79952,-0.3703678,KCNH1,potassium voltage-gated channel subfamily H member 1
32002_at,1.01E-04,1.67E-05,-4.825109,2.79687,-0.3763012,GFRA3,GDNF family receptor alpha 3
32269_at,1.01E-04,1.67E-05,-4.824939,2.79634,-0.2473347,MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
35119_at,1.01E-04,1.67E-05,4.824636,2.79539,0.5916439,RPL13AP5///SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,"ribosomal protein L13a pseudogene 5///small nucleolar RNA, C/D box 32A///small nucleolar RNA, C/D box 33///small nucleolar RNA, C/D box 34///small nucleolar RNA, C/D box 35A///ribosomal protein L13a"
41502_at,1.02E-04,1.67E-05,-4.824204,2.79403,-0.3355648,HIPK3,homeodomain interacting protein kinase 3
35442_at,1.02E-04,1.67E-05,-4.823894,2.79305,-0.4440177,TMEM63A,transmembrane protein 63A
40609_at,1.02E-04,1.69E-05,-4.821552,2.7857,-0.3000155,CHD8,chromodomain helicase DNA binding protein 8
40580_r_at,1.02E-04,1.69E-05,-4.820906,2.78367,-0.4603762,PTMS,parathymosin
AFFX-CreX-3_st,1.03E-04,1.70E-05,-4.820194,2.78143,-0.6487211,,
37029_at,1.03E-04,1.70E-05,4.819673,2.7798,0.6340806,ATP5O,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
39800_s_at,1.03E-04,1.70E-05,4.81964,2.77969,0.5149568,HAX1,HCLS1 associated protein X-1
33019_at,1.03E-04,1.70E-05,-4.81921,2.77834,-0.3174097,PARK2,parkin RBR E3 ubiquitin protein ligase
41673_at,1.03E-04,1.71E-05,-4.817747,2.77375,-0.4195229,FGF12,fibroblast growth factor 12
32986_s_at,1.03E-04,1.71E-05,-4.817464,2.77286,-0.3456113,SMAD9,SMAD family member 9
31457_at,1.04E-04,1.71E-05,-4.81675,2.77061,-0.3415007,FOXD2,forkhead box D2
35687_at,1.04E-04,1.72E-05,-4.816117,2.76863,-0.324455,CMC4,C-X9-C motif containing 4
32850_at,1.04E-04,1.72E-05,4.815557,2.76687,0.8347304,NUP153,nucleoporin 153
35481_at,1.04E-04,1.72E-05,-4.81551,2.76672,-0.4041684,MYO16,myosin XVI
41203_at,1.04E-04,1.72E-05,-4.815431,2.76647,-0.4543309,SF1,splicing factor 1
40986_s_at,1.04E-04,1.73E-05,-4.813384,2.76004,-0.30251,TP53BP1,tumor protein p53 binding protein 1
37654_at,1.04E-04,1.73E-05,4.813371,2.76,0.2272195,SNX17,sorting nexin 17
345_at,1.04E-04,1.73E-05,-4.813227,2.75955,-0.2968291,MGAT3,"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"
41752_at,1.05E-04,1.74E-05,4.812251,2.75649,0.3991213,GHITM,growth hormone inducible transmembrane protein
40269_at,1.05E-04,1.74E-05,4.812078,2.75595,0.6369751,PRPF18,pre-mRNA processing factor 18
35047_at,1.05E-04,1.74E-05,-4.812066,2.75591,-0.2874934,RFX2,regulatory factor X2
34799_at,1.05E-04,1.75E-05,-4.811108,2.7529,-0.2866406,IFT20,intraflagellar transport 20
39466_s_at,1.05E-04,1.75E-05,-4.809956,2.74928,-0.3362148,LOC102724262,uncharacterized LOC102724262
36060_at,1.05E-04,1.76E-05,4.809195,2.7469,0.620108,SRP54,signal recognition particle 54
31325_at,1.06E-04,1.76E-05,-4.80887,2.74587,-0.4684993,,
39664_at,1.06E-04,1.77E-05,4.806478,2.73837,0.2371601,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
38947_at,1.06E-04,1.77E-05,-4.806323,2.73788,-0.3195154,,
33034_at,1.07E-04,1.79E-05,-4.803976,2.73052,-0.3904584,RHBDL1,rhomboid like 1
36467_g_at,1.07E-04,1.79E-05,-4.803056,2.72763,-0.3313532,DTNA,dystrobrevin alpha
31505_at,1.08E-04,1.80E-05,4.802128,2.72472,0.3907164,RPL8,ribosomal protein L8
33579_i_at,1.08E-04,1.80E-05,-4.801822,2.72375,-0.4229998,GALR3,galanin receptor 3
38068_at,1.08E-04,1.81E-05,4.801016,2.72123,0.5396976,AMFR,autocrine motility factor receptor
31390_at,1.08E-04,1.81E-05,-4.800622,2.71999,-0.3034292,ZNF154,zinc finger protein 154
31549_at,1.08E-04,1.81E-05,-4.800428,2.71938,-0.2282944,MAS1,"MAS1 proto-oncogene, G protein-coupled receptor"
31753_at,1.08E-04,1.82E-05,-4.799297,2.71583,-0.3860934,NALCN-AS1,NALCN antisense RNA 1
36064_at,1.09E-04,1.82E-05,-4.797915,2.7115,-0.5778419,KCNQ2,potassium voltage-gated channel subfamily Q member 2
35106_at,1.09E-04,1.83E-05,-4.797757,2.71101,-0.2458407,CCIN,calicin
37144_at,1.09E-04,1.83E-05,-4.79685,2.70816,-0.3582827,PIAS4,protein inhibitor of activated STAT 4
34083_at,1.09E-04,1.83E-05,-4.796465,2.70695,-0.382412,GATC,glutamyl-tRNA amidotransferase subunit C
37569_at,1.09E-04,1.84E-05,4.79601,2.70552,1.2274851,PDCD6,programmed cell death 6
38528_at,1.09E-04,1.84E-05,-4.795459,2.7038,-0.5344127,ACACA,acetyl-CoA carboxylase alpha
31767_at,1.09E-04,1.84E-05,-4.795395,2.7036,-0.3415932,XYLB,xylulokinase
41629_at,1.10E-04,1.84E-05,-4.794965,2.70225,-0.3330416,TM4SF4,transmembrane 4 L six family member 4
1060_g_at,1.10E-04,1.85E-05,4.794196,2.69984,0.3419983,NTRK3,neurotrophic receptor tyrosine kinase 3
41305_at,1.10E-04,1.86E-05,-4.792217,2.69363,-0.3147233,SLC5A2,solute carrier family 5 member 2
32058_at,1.11E-04,1.86E-05,-4.791747,2.69215,-0.4380786,CHST10,carbohydrate sulfotransferase 10
37691_at,1.11E-04,1.86E-05,-4.791731,2.69211,-0.3152363,MEF2B///BORCS8///BORCS8-MEF2B,myocyte enhancer factor 2B///BLOC-1 related complex subunit 8///BORCS8-MEF2B readthrough
1129_at,1.11E-04,1.87E-05,-4.791196,2.69043,-0.3261615,GBX1,gastrulation brain homeobox 1
32082_at,1.11E-04,1.87E-05,-4.790287,2.68758,-0.3580326,SENP5,SUMO1/sentrin specific peptidase 5
37942_at,1.12E-04,1.88E-05,-4.788427,2.68175,-0.3652768,GPR162,G protein-coupled receptor 162
35903_at,1.12E-04,1.88E-05,-4.788251,2.6812,-0.2458943,LOC101927057///OMG,uncharacterized LOC101927057///oligodendrocyte myelin glycoprotein
36576_at,1.12E-04,1.89E-05,4.787382,2.67847,0.7152718,H2AFY,H2A histone family member Y
31658_at,1.12E-04,1.89E-05,-4.787216,2.67795,-0.3620768,NEUROG3,neurogenin 3
35892_at,1.12E-04,1.89E-05,-4.78644,2.67552,-0.2740516,CR1,complement component 3b/4b receptor 1 (Knops blood group)
37535_at,1.12E-04,1.90E-05,4.785668,2.6731,1.0170701,CREB1,cAMP responsive element binding protein 1
40290_f_at,1.12E-04,1.90E-05,-4.785602,2.67289,-0.4202438,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
39346_at,1.13E-04,1.90E-05,4.784788,2.67034,0.8098095,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1"
41257_at,1.13E-04,1.91E-05,4.784688,2.67003,1.0209426,CAST,calpastatin
36709_at,1.13E-04,1.91E-05,-4.783879,2.66749,-0.5973015,ITGAX,integrin subunit alpha X
35136_at,1.13E-04,1.92E-05,4.782337,2.66266,0.7042373,NXT2,nuclear transport factor 2 like export factor 2
39925_at,1.13E-04,1.92E-05,-4.781857,2.66115,-0.3711284,COL9A2,collagen type IX alpha 2 chain
35265_at,1.14E-04,1.93E-05,-4.780072,2.65556,-0.3658961,FXR2,FMR1 autosomal homolog 2
41112_at,1.14E-04,1.94E-05,-4.779958,2.65521,-0.2831523,ZNF500,zinc finger protein 500
35032_at,1.14E-04,1.94E-05,-4.779853,2.65488,-0.2475742,PDE6C,phosphodiesterase 6C
34061_at,1.14E-04,1.94E-05,-4.779428,2.65354,-0.435506,MIR1204///PVT1,microRNA 1204///Pvt1 oncogene (non-protein coding)
41738_at,1.15E-04,1.95E-05,4.778193,2.64968,1.3411312,CALD1,caldesmon 1
37994_at,1.15E-04,1.95E-05,4.777609,2.64785,0.7129777,FMR1,fragile X mental retardation 1
31937_at,1.15E-04,1.96E-05,-4.776769,2.64521,-0.413256,KIAA0430,KIAA0430
1877_g_at,1.16E-04,1.97E-05,4.774526,2.63819,1.0014606,RALA,RALA Ras like proto-oncogene A
1777_at,1.16E-04,1.97E-05,-4.774446,2.63794,-0.3868175,RIN1,Ras and Rab interactor 1
40981_at,1.16E-04,1.97E-05,-4.77438,2.63773,-0.3328366,CHD8,chromodomain helicase DNA binding protein 8
34308_at,1.16E-04,1.97E-05,4.774303,2.63749,0.7637066,HIST1H2AC,"histone cluster 1, H2ac"
39804_at,1.16E-04,1.98E-05,-4.773391,2.63463,-0.4265373,LDLRAD4,low density lipoprotein receptor class A domain containing 4
39603_at,1.16E-04,1.98E-05,-4.772366,2.63142,-0.263064,TSNAX-DISC1///DISC1,TSNAX-DISC1 readthrough (NMD candidate)///disrupted in schizophrenia 1
38400_at,1.17E-04,1.99E-05,4.770926,2.62691,0.567399,LSM14A,"LSM14A, mRNA processing body assembly factor"
861_g_at,1.17E-04,2.00E-05,4.770289,2.62492,0.4311014,MSH2,mutS homolog 2
2032_s_at,1.17E-04,2.00E-05,-4.77003,2.62411,-0.3303109,ITGAV,integrin subunit alpha V
632_at,1.17E-04,2.00E-05,-4.769949,2.62386,-0.3628347,GSK3A,glycogen synthase kinase 3 alpha
34040_s_at,1.17E-04,2.00E-05,-4.769508,2.62247,-0.3006745,NCR1,natural cytotoxicity triggering receptor 1
539_at,1.18E-04,2.01E-05,4.76789,2.61741,0.438187,RYK,receptor-like tyrosine kinase
35810_at,1.18E-04,2.02E-05,4.766165,2.61201,0.783993,ARPC3,actin related protein 2/3 complex subunit 3
33674_at,1.18E-04,2.03E-05,4.76608,2.61174,0.5432882,RPL29,ribosomal protein L29
1815_g_at,1.18E-04,2.03E-05,4.766028,2.61158,0.8878466,TGFBR2,transforming growth factor beta receptor 2
1240_at,1.18E-04,2.03E-05,-4.765461,2.60981,-0.2552238,CASP2,caspase 2
AFFX-ThrX-3_at,1.19E-04,2.04E-05,-4.763471,2.60357,-0.493969,,
31534_at,1.19E-04,2.04E-05,-4.763251,2.60289,-0.5529195,ZFY,"zinc finger protein, Y-linked"
40033_at,1.19E-04,2.05E-05,-4.763126,2.6025,-0.2955959,MAPK11,mitogen-activated protein kinase 11
39353_at,1.20E-04,2.05E-05,4.76191,2.59869,1.1725617,HSPE1,heat shock protein family E (Hsp10) member 1
33694_at,1.20E-04,2.05E-05,-4.761781,2.59829,-0.3810522,PGM5,phosphoglucomutase 5
34063_at,1.20E-04,2.06E-05,-4.760787,2.59518,-0.415337,RECQL5,RecQ like helicase 5
37840_at,1.20E-04,2.07E-05,-4.759582,2.5914,-0.5386642,CNGA1,cyclic nucleotide gated channel alpha 1
39415_at,1.20E-04,2.07E-05,4.759326,2.5906,0.8871274,HNRNPK,heterogeneous nuclear ribonucleoprotein K
36333_at,1.20E-04,2.07E-05,4.758902,2.58928,0.5247002,RPL7,ribosomal protein L7
